date,Altona,Bergedorf,Eimsbüttel,Hamburg Mitte,Hamburg Nord,Harburg,Wandsbek
2020-05-22,814,212,716,862,805,376,1270
2020-05-25,817,213,716,863,804,377,1271
2020-05-31,826,213,717,867,807,378,1280
2020-06-01,826,213,717,868,808,383,1281
2020-06-02,826,213,717,868,808,383,1281
2020-06-05,822,213,718,875,812,385,1285
2020-06-06,822,213,718,875,812,386,1286
2020-06-07,822,213,718,875,812,386,1288
2020-06-10,822,213,720,874,813,388,1295
2020-06-12,825,213,721,876,813,392,1298
2020-06-15,825,213,722,881,814,393,1298
2020-06-22,823,213,724,886,818,402,1303
2020-06-29,827,203,731,898,818,421,1302
2020-07-06,829,204,731,901,825,424,1308
2020-07-13,830,203,733,904,828,426,1306
2020-07-20,830,203,735,910,831,426,1305
2020-07-27,836,208,737,923,840,440,1341
2020-08-03,844,221,747,951,858,454,1368
2020-08-10,878,228,766,1019,886,488,1425
2020-08-17,908,232,798,1102,901,508,1451
2020-08-24,927,242,814,1151,925,530,1493
2020-08-31,956,249,845,1195,958,532,1526
2020-09-07,1008,259,884,1244,1014,550,1567
2020-09-14,1045,272,931,1293,1090,578,1636
2020-09-21,1086,290,984,1357,1158,602,1752
2020-09-28,1155,318,1049,1454,1250,648,1875
2020-10-05,1218,357,1107,1548,1359,718,2031
2020-10-12,1311,412,1174,1704,1449,778,2212
2020-10-19,1474,491,1298,1876,1568,874,2420
2020-10-26,1717,555,1532,2308,1849,1071,2820
2020-11-02,2057,748,1751,2775,2142,1329,3484
2020-11-09,2619,900,2159,3359,2484,1665,4251
2020-11-16,3000,1053,2432,4080,2879,2024,4938
2020-11-23,3290,1222,2659,4696,3204,2293,5575
2020-11-30,3513,1336,2837,5171,3450,2481,6072
2020-12-07,3810,1487,3052,5750,3723,2618,6646
2020-12-14,4091,1701,3347,6365,4070,2813,7328
2020-12-21,4456,1925,3655,6971,4476,3109,8138
2020-12-28,4834,2089,3946,7674,4839,3412,8695
2021-01-04,5226,2245,4153,8141,5207,3662,9249
2021-01-11,5669,2441,4587,8830,5603,4002,9834
2021-01-18,5907,2590,4893,9353,5857,4221,10263
2021-01-25,6163,2749,5085,9725,6103,4398,10703
2021-02-01,6339,2935,5288,10050,6282,4545,11123
2021-02-09,6500,3094,5414,10364,6444,4651,11425
2021-02-15,6685,3218,5547,10649,6613,4784,11682
2021-02-22,6836,3335,5680,10961,6849,4922,11939
2021-03-01,7011,3477,5829,11317,7055,5125,12235
2021-03-08,7179,3575,5965,11657,7259,5370,12550
2021-03-15,7379,3702,6114,12074,7452,5676,12878
2021-03-22,7645,3833,6334,12572,7761,5953,13364
2021-03-29,7965,4047,6590,13285,8165,6305,13993
2021-04-05,8334,4232,6842,13999,8570,6641,14598
2021-04-12,8684,4431,7074,14659,8885,6921,15272
2021-04-19,9004,4608,7282,15349,9171,7248,15859
2021-04-26,9302,4749,7520,15920,9419,7485,16314
2021-05-03,9547,4889,7680,16412,9615,7716,16723
2021-05-10,9761,5007,7899,16801,9784,7850,17074
2021-05-17,9909,5073,7982,17042,9892,7943,17249
